,bed_availability,budget_range,location,ownership,name,services,specialty,address
Unavailable,76,100800,Teynampet,Private,BAGDI NURSING HOME,Inpatient,Neurology,"3RD FLOOR, NO.10, SOLAIAPPAN STREET, T.
NAGAR, CHENNAI 600017"
Immediate,119,83558,Teynampet,Private,SUBAM CLINIC,Emergency,Neurology,294 TRIPLICANE HIGHR ROAD CHENNAI    600005
Unavailable,118,64599,Teynampet,Private,ZOBRA MADANI HOSPITAL,Laboratory,ENT,17 TRIPLICANE HIGH ROAD CHENNAI    600005
Immediate,65,190067,Teynampet,Private,DR STAR BONE JOINT CENTRE,Home Nursing,Neurology,"2/3 PILLIAR KOIL STREET, 2ND LANE, TRIPLICANE
NEAR JAI KALYANAMANDAPAM, CHENNAI  600005"
Unavailable,80,171788,Teynampet,Private,LISTER NURSING HOME,Inpatient,Cardiology,"NO. 3/2, APPAVOO STREET CHENNAI   600002"
Unavailable,66,173840,Teynampet,Private,GOVERNMENT KASTHURIBAI GANDHI,Home Nursing,ENT,"WOMEN AND CHILDREN HOSPITAL TRIPLICANE
CHENNAI  600005"
Unavailable,27,163067,Teynampet,Private,J.J.S.N. HOSPITAL,Laboratory,General,"NO. 28. THYPOON ALIKHAN STREET, TRIPLICANE
CHENNAI 600005"
Immediate,102,127228,Teynampet,Private,DR M Y AJMAL HIBA HOSPITAL,OPD,Neurology,"53 OLD NO.25 BIG STREET TRIPLICANE CHENNAI
600005"
Immediate,101,92620,Teynampet,Private,SHIFA HOSPITAL AND RESEARCH CENTER,Home Nursing,ENT,"93, TRIPLICANE HIGH ROAD CHENNAI   600005"
Unavailable,183,77678,Teynampet,Private,JANANI NURSING HOME,Home Nursing,Gynaecology,"22, SYODOJI STREET, TRIPLICANE, CHENNAI 600005"
Unavailable,42,14347,Teynampet,Government,"GOVERNMENT KASTHURIBAI GANDHI WOMEN
AND CHILDREN HOSPITAL",Laboratory,Psychiatry,TRIPLICANE CHENNAI   600005
Unavailable,149,499941,Teynampet,Private,DR GUNASEKARAN CLINIC,Home Nursing,Orthopedics,72 PETERS ROAD ROYAPETTAH  CHENNAI  600014
Immediate,151,486585,Teynampet,Private,SHIBA CLINIC,Daycare,Gastro-intestinal,"4 MANICKA MAISTRY STREET ROYAPETTAH
CHENNAI  600014"
Scheduled,87,327601,Teynampet,Private,GOVT. ROYAPETTAH HOSPITAL,Emergency,Cardiology,PETERS ROAD ROYAPETTAH  CHENNAI  600014
Scheduled,84,425679,Teynampet,Private,R.R. MULTI SPECIALITY HOSPITAL,Laboratory,Gynaecology,"NO. 258, T.H. ROAD, TRIPLICANE CHENNAI   600005"
Unavailable,168,430054,Teynampet,Private,B K MOHIDEEN NURSING HOME,Home Nursing,Gynaecology,121 KAREEM SUBAHAR STREET CHENNAI    600005
Scheduled,167,143046,Teynampet,Private,CRESENT HOSPITAL,Emergency,Pediatrics,46 DR BESENT ROAD CHENNAI    600014
Immediate,134,289042,Teynampet,Private,SAKTHI NURSING HOME,Emergency,Psychiatry,"86/175, BIG STREET, TRIPLICANE, CHENNAI 600005"
Unavailable,83,137724,Teynampet,Private,RATNA NURNSING HOME,Laboratory,Pediatrics,241 & 242 TRIPLICANE HIGH ROAD CHENNAI    600005
Immediate,129,351982,Teynampet,Private,BHARATHI RAJA SPECIALITY HOSPITAL,Daycare,Gynaecology,"20, G.N. CHETTY ROAD T. NAGAR, CHENNAI . 600017"
Immediate,82,224274,Teynampet,Private,"WOMEN AND CHILDREN FOUNDATION
HOSPITAL",Laboratory,Gastro-intestinal,"NO.13/14, NORTH USMAN ROAD T.NAGAR CHENNAI
600017"
Scheduled,74,155170,Teynampet,Private,VIDYA HOSPITAL,Emergency,Gynaecology,"22, K.B.DASAN ROAD,  SEETHAMMAL COLONY,
ALWARPET,CHENNAI 600018"
Unavailable,74,369158,Teynampet,Private,SHANTA AYURVEDA HOSPITAL,Laboratory,Cardiology,"23A, NORTH BOAG ROAD T. NAGAR CHENNAI 600017"
Unavailable,54,312133,Teynampet,Private,LAKSHMI HOSPITAL,Daycare,General,"51, SOUTH BOAG ROAD, T.NAGAR, CHENNAI 600017"
Scheduled,124,163399,Teynampet,Private,"CWC,",Home Nursing,Orthopedics,"40, K.B.DASAN ROAD, TEYNAMPET, CHENNAI 600018"
Unavailable,57,39204,Teynampet,Government,GIRISHWARI HOSPITAL PVT.LTD.,Laboratory,Gynaecology,"29, CHITTARANJAN ROAD, ALWARPET, CHENNAI
600018"
Scheduled,199,200103,Teynampet,Private,RAI MEMORIAL MEDICAL CENTRE,OPD,General,"562, ANNA SALAI, TEYNAMPET, CHENNAI 600018"
Scheduled,28,77774,Teynampet,Private,BE WELL HOSPITALS,OPD,Gastro-intestinal,"NO. 5A, VIJAYARAGHAV ROAD,  T. NAGAR,  CHENNAI
600017"
Scheduled,144,300774,Teynampet,Private,KASTHURI BA NURSING HOME,Inpatient,Gastro-intestinal,"7 SUBARAYA STREET NUNGAMBAKKAM  CHENNAI
600034"
Unavailable,123,193733,Teynampet,Private,THIRUVENKADAM THARA NURSING HOME,Home Nursing,Gastro-intestinal,17 BESANT ROAD ROYAPETTAH  CHENNAI  600014
Immediate,115,220717,Teynampet,Private,ASWINI SOUNDARIA NURSING HOME,Emergency,ENT,"NO.24 KASTHURI RANGAN ROAD TEYNAMPET
CHENNAI  600018"
Immediate,68,269517,Teynampet,Private,RANGA NURSING HOME,Emergency,Neurology,36 T T K ROAD TEYNAMPET CHENNAI  600018
Immediate,54,445587,Teynampet,Private,DR B K JAYA LAKSHMI INTERTILITY CLINIC,Home Nursing,Gastro-intestinal,"NO.MAHARAJA SURYA ROAD ALWARPET CHENNAI
600018"
Immediate,186,300271,Teynampet,Private,VASAN HEALTH CARE PVT LTD,Daycare,Pediatrics,"310, T.T.K. ROAD ALWARPET CHENNAI 600018"
Scheduled,179,172438,Teynampet,Private,CENTRE FOR BLOOD DISORDERS,OPD,General,"73, HABIBULLAH ROAD T. NAGAR CHENNAI 600017"
Unavailable,77,146294,Teynampet,Private,C.W.C.,OPD,General,"11, BEGUM SAHIB STREET, ROYAPETTAH, CHENNAI
600014"
Unavailable,145,30581,Teynampet,Government,K.P.A. CLINIC,Inpatient,Orthopedics,"10, 2ND STREET, BALAJI NAGAR, CHENNAI 600014"
Scheduled,192,378063,Teynampet,Private,AMBAL'S HOSPITAL,Emergency,Neurology,"113 AVVAI SHANMUGAM SALAI ROYAPETTAH
CHENNAI  600014"
Unavailable,153,324734,Teynampet,Private,ST.  ISABEL HOSPITAL,Inpatient,Gastro-intestinal,"49, OLIVER ROAD MYLAPORE CHENNAI 600004"
Immediate,92,183178,Teynampet,Private,SEETHAPATHY CLINIC,Home Nursing,Cardiology,241 ROYAPETTAH HIGH ROAD CHENNAI    600014
Immediate,121,180676,Teynampet,Private,SIVA E.N.T. HOSPITAL,Home Nursing,Cardiology,"94 AVVAI SHANMUGAM SALAI  ROYAPETTAH
CHENNAI  600014"
Scheduled,194,116342,Teynampet,Private,FOUSIYA HOSPITAL,Emergency,Pediatrics,"NO-56,DR. NATESAN ROAD, TRIPLICANE CHENNAI
600005"
Immediate,35,154401,Teynampet,Private,ARA HOSPITAL FOR WOMEN,Daycare,General,"NO.32B MUTHIAH STREET ROYAPETTAH CHENNAI
600014"
Immediate,149,474935,Teynampet,Private,M.M. HARSHNI VEDA HOSPITAL,Laboratory,ENT,"NO. 43, IRUSAPPA STREET TRIPLICANE CHENNAI
600005"
Immediate,182,315969,Teynampet,Private,LAKSHA HOSPITAL,Home Nursing,General,"NO.15, P.S. SIVASWAMY SALAI MYLAPORE CHENNAI
600004"
Immediate,79,489411,Teynampet,Private,K S HOSPITAL,Laboratory,General,289 LLYODS ROAD ROYAPETTAH CHENNAI 600014
Immediate,169,160324,Teynampet,Private,E.V.KALYANI MEDICAL CENTRE,Inpatient,Neurology,"DR.RADHAKRISHNAN HIGH ROAD, CHENNAI   600004"
Scheduled,133,462001,Teynampet,Private,A V M MEDICAL CENTRE,Home Nursing,Cardiology,"2, P.S.SIVASAMY SALAI, MYLAPORE, CHENNAI
600004"
Immediate,157,339286,Teynampet,Private,KR DORAISAMY MEMORIAL CANCER CENTRE,Home Nursing,General,"91 DR RADHAKRISHNAN SALAI MYLAPORE CHENNAI
600004"
Scheduled,119,145811,Teynampet,Private,C.W.C.,Emergency,Neurology,"311, T.T.K.ROAD, CHENNAI   600014"
Immediate,172,301441,Teynampet,Private,C S I KALYANI GENERAL HOSPITAL,Inpatient,Gastro-intestinal,"15 DR RADHAKRISHNAN SALAI MYLAPORE CHENNAI
600004"
Unavailable,147,464198,Teynampet,Private,R.S.P.HOSPITALS,Home Nursing,General,"6, 9TH STREET, NANDANAM EXTN. CHENNAI 600035"
Scheduled,127,38821,Teynampet,Government,NANDANAM COMMONS HOSPITAL,Emergency,Orthopedics,"4, TURN BULLS ROAD,  NANDANAM, CHENNAI 600035"
Immediate,64,249211,Teynampet,Private,VENKATAESWARA HOSPITALS,OPD,General,"NO.36-A, CHAMIERS ROAD, NANDANAM,  CHENNAI
600035"
Scheduled,195,19203,Teynampet,Government,HARVEY HEALTH CARE LTD.,Home Nursing,Cardiology,"NEW NO.542, T.T.K.ROAD, ALWARPET,  CHENNAI
600018"
Scheduled,182,231628,Teynampet,Private,APOLLO SPECIALITY HOSPITAL,OPD,Psychiatry,"320, MOUNT ROAD, CHENNAI   600035"
Scheduled,167,383051,Teynampet,Private,GIRISHWARI HOSPITAL PVT LTD,Emergency,Orthopedics,"NO. 19, K.B. DHASAN ROAD, ALWARPET, CHENNAI
600018"
Immediate,133,491256,Teynampet,Private,"RHEA HEALTH CARE PVT.LTD. MOTHER HOOD
HOSPITAL",Inpatient,Orthopedics,"NO. 542, T.T.K. ROAD, ALWARPET, CHENNAI   600018"
Immediate,56,116705,Teynampet,Private,DEVAKI HOSPITAL LTD.,Laboratory,Psychiatry,"NO.148, LUZ CHURCH ROAD, MYLAPORE, CHENNAI
600004"
Scheduled,40,260540,Teynampet,Private,KAUVERY HOSPITAL,Home Nursing,Cardiology,"MBC TOWERS, 199/90, LUZ CHURCH ROAD
MYLAPORE, CHENNAI   600004"
Immediate,62,299337,Teynampet,Private,BILLROTH HOSPITAL R.A. PURAM,OPD,Gynaecology,"52, SECOND MAIN ROAD RAJA ANNAMALAI PURAM
CHENNAI 600028"
Unavailable,127,49622,Teynampet,Government,A.V.HOSPITAL,Home Nursing,Psychiatry,"NO.1, SUNDAR RAJAA STREET, ABIRAMAPURAM,
CHENNAI 600018"
Immediate,110,373930,Teynampet,Private,BEEMANNAPET HEALTH POST,Daycare,Orthopedics,"NO.31, C.P.RAMASWAMY ROAD, ALWARPET,
CHENNAI 600018"
Scheduled,106,493221,Teynampet,Private,RSRS. TRINITY ACUTE CARE HOSPITAL,Emergency,Cardiology,"NO.33, DESIKAN ROAD, MYLAPORE, CHENNAI 600004"
Immediate,72,309236,Teynampet,Private,CHENNAI KALIPPA HOSPITAL,OPD,Neurology,"NO.43, IIND MAIN ROAD, RAJA ANNAMALAI PURAM,
CHENNAI 600028"
Unavailable,120,285824,Teynampet,Private,"CHENNAI MEENAKSHI MULTISPECIALITY
HOSPITAL LTD",Daycare,Cardiology,"OLD NO.148, NEW NO.72, LUZ CHURCH ROAD
MYLAPORE, CHENNAI   600004"
Unavailable,24,219642,Teynampet,Private,SAMPATH NURSING HOME,Emergency,Gynaecology,"NO.4&5, NACHIAPPAN STREET, MYLAPORE,
CHENNAI 600004"
Scheduled,171,39839,Teynampet,Government,SINUS AND NOSE HOSPITAL,OPD,Gynaecology,"NO.35A, SANTHOME HIGH ROAD, MYLAPORE,
CHENNAI 600004"
Unavailable,35,363945,Teynampet,Private,SANTHOME HEALTH POST,Inpatient,General,"NO.14, APPU MUDALI STREET, 2ND LANE,
SANTHOME, CHENNAI 600004"
Scheduled,155,142465,Teynampet,Private,DR.B.LEELAVATHI NURSING HOME,OPD,Neurology,"NO.1, NORTON 2ND STREET, MANDAVELI, CHENNAI
600028"
Immediate,20,481390,Teynampet,Private,"YOGI VEDA KUMARI HOSPITAL ENTERPRISED
PVT.LTD.",Inpatient,Gynaecology,"NO.14/2, DEVANATHAN STREET, MANDAVELI,
CHENNAI 600028"
Unavailable,159,154580,Teynampet,Private,SRI RANGA NURSING HOME,Emergency,Psychiatry,"NO.6, CHOCKALINGAM STREET, MANDAVELI,
CHENNAI 600028"
Immediate,24,151947,Teynampet,Private,JANAMMA SUGAM HOSPITAL,Inpatient,Gastro-intestinal,"NO.56, VENKATAKRISHNA IYER ROAD, RAJA
ANNAMALAIPURAM, CHENNAI 600028"
Unavailable,89,382909,Teynampet,Private,R.A. PURAM HEALTH POST,Daycare,Gastro-intestinal,"NO.17, RAMAKRISHNA NAGAR, IIND MAIN ROAD,
CHENNAI 600028"
Unavailable,126,132605,Kodambakkam,Private,SBS HOSPITAL,Daycare,ENT,"NO.3, VTH MAIN ROAD NATESAN NAGAR
VIRUGAMBAKKAM, CHENNAI 600092"
Scheduled,39,403454,Kodambakkam,Private,SRI DEVI SPECIALITY HOSPITAL,Daycare,Neurology,"NO.35, P.H.ROAD, KOYAMBEDU, CHENNAI 600107"
Immediate,161,337173,Kodambakkam,Private,J.J.HOSPITAL,Emergency,Gynaecology,"SAI NAGAR, VIRUGAMBAKKAM CHENNAI 600092"
Immediate,195,493294,Kodambakkam,Private,WOMEN AND CHILDREN FOUNDATION LTD,Home Nursing,Gynaecology,"NO.121/60, KALIAMMAN KOIL STREET
VIRUGAMBAKKAM CHENNAI 600092"
Scheduled,51,384144,Kodambakkam,Private,ANNAI HOSPITAL,Daycare,Gastro-intestinal,"NO.121/60, KALIAMMAN KOIL STREET, GANAPATHY RAJ NAGAR, VIRUGAMBAKKAM, CHENNAI 600092"
Immediate,74,265952,Kodambakkam,Private,L AND T PRAYAS MEDICAL CENTRE,Inpatient,General,"869, KALIAMMAN KOIL STREET, VIRUGAMBAKKAM,
CHENNAI 600092"
Scheduled,111,19853,Kodambakkam,Government,AROKYA HOSPITAL,Emergency,General,"32, PILLAYAR KOIL STREET, NESAPAKKAM,WEST
K.K.NAGAR, CHENNAI 600078"
Immediate,180,310804,Kodambakkam,Private,CMC HOSPITAL,OPD,General,"NO. 51 & 52, THIRUVALLUVAR SALAI NESAPAKKAM,
CHENNAI   600078"
Unavailable,102,368869,Kodambakkam,Private,SUBAM SPECIAL HOSPITAL,Daycare,Neurology,"46, AVM AVENUE, VIRUGAMBAKKAM, CHENNAI
600092"
Scheduled,140,74729,Kodambakkam,Private,DEVI HOSPITAL,Home Nursing,Gastro-intestinal,"6,YADAVAL STREET, VIRUGAMBAKKAM, CHENNAI
600092"
Immediate,60,60171,Kodambakkam,Private,PONNI NURSING HOME,Home Nursing,ENT,"28, A.V.M.STREET, VIRUGAMBAKKAM, CHENNAI
600092"
Unavailable,96,181496,Kodambakkam,Private,SOORIYA HOSPITAL,OPD,Cardiology,"1, ARUNACHALAM ROAD, SALIGRAMAM, CHENNAI
600093"
Scheduled,91,454938,Kodambakkam,Private,VHM HOSPITAL PVT. LTD,Laboratory,Orthopedics,"4, LALBAHADUR SASTRY STREET, SATHYA GARDEN,
SALIGRAMAM, CHENNAI 600093"
Immediate,37,401026,Kodambakkam,Private,BHARANI HOSPITAL,OPD,General,"22, ARCOT ROAD, SALIGRAMAM, CHENNAI 600093"
Unavailable,27,306422,Kodambakkam,Private,SREE SEVA MANDIR,OPD,ENT,"54, K.KARUNANIDHI ROAD, KAVERI RANGA NAGAR,
SALIGRAMAM,CHENNAI 600093"
Immediate,188,224598,Kodambakkam,Private,SAKKTHI NURSING HOME,Emergency,Orthopedics,"4-A,M.G.R.SALAI,NEHRU NAGAR SALIGRAMAM
CHENNAI 600093"
Immediate,155,487258,Kodambakkam,Private,WOMEN AND CHILDREN FOUNDATION LTD.,Home Nursing,Orthopedics,"BHARANI GARDEN, 22, ARCOT ROAD, SALIGRAMAM,
CHENNAI 600093"
Unavailable,83,227853,Kodambakkam,Private,PARVATHI NURSING HOME,OPD,Gastro-intestinal,"798, JEEVANANDAM ROAD, K.K.NAGAR, CHENNAI
600078"
Unavailable,130,83292,Kodambakkam,Private,SRM INSTITUTES FOR MEDICAL SCIENCE,Home Nursing,Orthopedics,"1,JAWAHARLAL NEHRU SALAI,VADAPALANI,
CHENNAI-   600026"
Immediate,108,413313,Kodambakkam,Private,DR. LANKESH EYE HOSPITAL PVT LTD,Inpatient,Pediatrics,"2/5, 41ST STREET AHOK NAGAR CHENNAI 600083"
Immediate,35,453397,Kodambakkam,Private,VIJAYA HEALTH CENTRE,Laboratory,Gynaecology,"175, N.S.K. SALAI VADAPALANI CHENNAI 600026"
Scheduled,75,491439,Kodambakkam,Private,YOGI NATURAL TREATMENT CENTRE,OPD,Psychiatry,"3, ARYA GOWDA ROAD EXTENTION WEST
MAMBALAM CHENNAI 600033"
Scheduled,54,464068,Kodambakkam,Private,VADAPALANI MULTI SPECIALITY HOSPITAL,OPD,Psychiatry,"NO.33, VADAPALANI ANDAVAR KOIL STREET
VADAPALANI CHENNAI 600026"
Unavailable,47,32869,Kodambakkam,Government,VIJAYA HOSPITAL,Home Nursing,Cardiology,"180, N.S.K. SALAI VADAPALANI CHENNAI 600026"
Scheduled,107,365507,Kodambakkam,Private,P AND G NURSING HOME,Laboratory,Neurology,"NEW NO 42, OLD NO 60, 100 FEET ROAD
VADAPALANI CHENNAI 600026"
Scheduled,61,297504,Kodambakkam,Private,AALAYAA HOSPITAL,OPD,Gynaecology,"22-A, PILLAIYAR KOIL STREET, VADAPALANI,
CHENNAI 600026"
Immediate,187,388340,Kodambakkam,Private,GNANESH NURSING HOME,Home Nursing,Gastro-intestinal,"NO.9, VENKATESWARA STREET, DHANALAKSHMI
COLONY, VADAPALANI,CHENNAI 600026"
Immediate,194,488091,Kodambakkam,Private,AAKASH FERTILITY CENTRE AND HOSPITAL,OPD,General,"10,JAWAHARLAL NEHRU(100 FEET)ROAD,
VADAPALANI, CHENNAI 600026"
Scheduled,185,233292,Kodambakkam,Private,VADAPALANI CWC,Daycare,Gastro-intestinal,"65, ARCOT ROAD, VADAPALANI, CHENNAI 600026"
Unavailable,131,231790,Kodambakkam,Private,S K NURSING HOME,Emergency,Cardiology,"1, DURAISWAMY STREET, VADAPALANI, CHENNAI
600026"
Unavailable,52,154265,Kodambakkam,Private,VIJAY NURSING HOME,OPD,Pediatrics,"15, 21ST AVENUE, ASHOK NAGAR, CHENNAI 600083"
Immediate,38,460731,Kodambakkam,Private,AAKASH FERTILITY CENTRE,Daycare,Neurology,"64, LAKE VIEW ROAD, WEST MAMBALAM, CHENNAI
600033"
Scheduled,126,188223,Kodambakkam,Private,K.M. NURSING HOME,Emergency,ENT,"459, R.K. SHANMUGAM SALAI, K.K. NAGAR, CHENNAI
600078"
Scheduled,188,180980,Kodambakkam,Private,THE SPECIALISTS CLINIC AND HOSPITAL,Laboratory,General,"1/9, RAJAMANNAR SALAI VIJAYARAGHAVAPURAM
CHENNAI 600093"
Immediate,58,399872,Kodambakkam,Private,K.M.HOSPITAL,Daycare,Orthopedics,"459, R.K.SHANMUGAM SALAI, K.K.NAGAR, CHENNAI
600078"
Unavailable,174,41751,Kodambakkam,Government,S.M.HOSPITAL,Laboratory,Pediatrics,"B-49, DR.RAMASAMY ROAD, K.K.NAGAR, CHENNAI
600078"
Unavailable,73,339883,Kodambakkam,Private,K.M. HOSPITAL,Home Nursing,Psychiatry,"459, R.K. SHANMUGAM SALAI K.K. NAGAR, CHENNAI
600078"
Scheduled,157,275395,Kodambakkam,Private,K.M. SPECIALITY HOSPITAL,OPD,Psychiatry,"NO.453 & 454, R.K. SHANMUGAM SALAI K.K. NAGAR,
CHENNAI   600078"
Immediate,155,152807,Kodambakkam,Private,PALLAVA HOSPITAL,Emergency,Cardiology,"NO.19A, FIRST AVENUE ASHOK NAGAR CHENNAI
600083"
Immediate,178,379936,Kodambakkam,Private,S.M.V. NURSING HOME,Inpatient,ENT,"OLD NO.63/3, NEW NO.68, SOUTH SIVAN KOIL
STREET SAIDAPET ROAD VADAPALANI, CHENNAI 600026"
Immediate,80,149112,Kodambakkam,Private,REKHA HOSPITAL,Inpatient,Gynaecology,"24, KAMARAJAR SALAI, ASHOK NAGAR, CHENNAI
600083"
Scheduled,47,413548,Kodambakkam,Private,ORTHOPAEDIC AND SPECIALITIES HOSPITAL,OPD,Gastro-intestinal,"25, 10TH AVENUE, ASHOK NAGAR, CHENNAI 600083"
Unavailable,124,200347,Kodambakkam,Private,SUNRAYS LAPAROSCOPIC CENTRE,OPD,Pediatrics,"NO. 59, 11TH AVENUE, ASHOK NAGAR, CHENNAI
600083"
Unavailable,149,310818,Kodambakkam,Private,MAYA NURSING HOME,Emergency,Gynaecology,"B-225, 15TH AVENUE, ASHOK NAGAR, CHENNAI
600083"
Scheduled,142,237229,Kodambakkam,Private,RAMANI HOSPITAL,Emergency,General,"47, KAMARAJ SALAI ASHOK NAGAR,  CHENNAI
600083"
Scheduled,147,402189,Kodambakkam,Private,JENESAM HOSPITAL,Emergency,Gynaecology,"1, 40TH STREET, ASHOK NAGAR, CHENNAI 600083"
Scheduled,21,367278,Kodambakkam,Private,PALLAVA HOSPITAL,Daycare,Orthopedics,"37, I AVENUE, ASHOK NAGAR, CHENNAI 600083"
Unavailable,178,394577,Kodambakkam,Private,KUMARAN SPECIALITIES HOSPITAL,Daycare,Psychiatry,"46, 1ST AVENUE, ASHOK NAGAR, CHENNAI 600083"
Immediate,102,67878,Kodambakkam,Private,BALAHJI HOSPITAL,Emergency,Psychiatry,"164, IST AVENUE, ASHOK NAGAR, CHENNAI 600083"
Scheduled,66,90761,Kodambakkam,Private,SRI SAAI KRS HOSPITAL,Daycare,Gastro-intestinal,"7TH AVENUE,  ASHOK NAGAR, CHENNAI 600063"
Unavailable,93,224897,Kodambakkam,Private,C.S.M.NURSING HOME,Laboratory,ENT,"10, RUKMANI STREET, WEST MAMBALAM, CHENNAI
600033"
Unavailable,200,212594,Kodambakkam,Private,MADRAS POLY CLINIC AND NURSING HOME,Emergency,Orthopedics,"19, KANNADASAN STREET,. RANGARAJAPURAM,
KODAMBAKKAM,CHENNAI 600024"
Scheduled,42,385637,Kodambakkam,Private,VADAPALANI CWC,Daycare,General,"65, ARCOT ROAD, VADAPALANI CHENNAI   600026"
Immediate,138,47846,Kodambakkam,Government,VIJAYA HOSPITAL,Laboratory,Pediatrics,"180, N.S.K.SALAI, CHENNAI   600026"
Immediate,127,422199,Kodambakkam,Private,SRI MEENAKSHI NURSING HOME PVT LTD,Laboratory,Cardiology,"NO.3-A, BARODA STREET,   WEST MAMBALAM,
CHENNAI 600033"
Unavailable,138,196912,Kodambakkam,Private,J V HOSPITAL,Home Nursing,General,"31, RAILWAY BORDER ROAD, KODAMBAKKAM,
CHENNAI 600024"
Immediate,198,165206,Kodambakkam,Private,"GARBBA RAKSHAMBIGAI FERTILITY CENTRE (P)
LTD.",Daycare,ENT,"4, 6TH CROSS STREET, UNITED INDIA COLONY,
KODAMBAKKAM, CHENNAI 600024"
Immediate,104,245691,Kodambakkam,Private,SRINIVASA HOSPITAL,Home Nursing,Gastro-intestinal,"NO.47, RAILWAY STATION ROAD KODAMBAKKAM
CHENNAI 600024"
Immediate,150,135631,Kodambakkam,Private,SRI MEENAKSHI NURSING HOME,Laboratory,ENT,"NO.3A, BARODA STREET WEST MAMBALAM
CHENNAI 600033"
Unavailable,70,367060,Kodambakkam,Private,THULASI KRISHNA NURSING HOME,Emergency,General,"3, FIRST STREET, TAYLOR'S
ESTATE,KODAMBAKKAM, CHENNAI 600024"
Immediate,41,84467,Kodambakkam,Private,SPOT HOSPITAL,Emergency,General,"NO.36, DR. AMBEDKAR ROAD,  KODAMBAKKAM,
CHENNAI 600024"
Unavailable,120,449469,Kodambakkam,Private,SRM HOSPITAL,Daycare,Psychiatry,"68, THAMBIAH ROAD, WEST MAMBALAM, CHENNAI
600033"
Scheduled,64,226229,Kodambakkam,Private,PUBLIC HEALTH CENTRE,OPD,Psychiatry,"114, LAKEVIEW ROAD, WESTMAMBALAM, CHENNAI
600033"
Immediate,58,468474,Kodambakkam,Private,"CHAKRA MATERNITY CLINIC,",Laboratory,ENT,"108, ELLAIAMMAN KOIL STREET, WEST MAMBALAM,
CHENNAI 600033"
Immediate,188,183502,Kodambakkam,Private,GUNASEKARAN HOSPITALS PVT LTD,Emergency,Gynaecology,"NO.1, CRESENT PARK STREET, T. NAGAR, CHENNAI
600017"
Scheduled,129,409392,Kodambakkam,Private,ANURADHA MATERNITY CENTRE,OPD,Cardiology,"15, DHANDAPANI STREET, T.NAGAR, CHENNAI
600017"
Unavailable,188,398178,Kodambakkam,Private,LASER AND LAPOROSCOPIC HOSPITAL,Daycare,Cardiology,"GENERAL SURGICAL CLINIC, T.NAGAR, CHENNAI
600017"
Immediate,188,355417,Kodambakkam,Private,SARAVANA HEART HOSPITAL,Home Nursing,Psychiatry,"1, SOMA SOUNDARAM STREET, T.NAGAR, CHENNAI
600017"
Scheduled,109,58592,Kodambakkam,Private,RMD NURSING HOME,Emergency,Psychiatry,"6, RAGAVIAH ROAD, T.NAGAR CHENNAI 600017"
Immediate,49,456712,Kodambakkam,Private,DR.GUNASEKARAN NURSING HOME,Home Nursing,General,"1, CRESENT PARK STREET, T.NAGAR, CHENNAI
600017"
Immediate,100,292630,Kodambakkam,Private,CWC,Daycare,ENT,"5, SIVAGNANAM ROAD, T.NAGAR, CHENNAI 600017"
Immediate,26,258650,Kodambakkam,Private,JANANI HOSPITAL,Inpatient,Pediatrics,"NO.7, AMMAN STREET, BHARATHI NAGAR
NESAPAKKAM, CHENNAI   600078"
Scheduled,38,53436,Kodambakkam,Private,JANANI HOSPITAL,Home Nursing,Pediatrics,"NO.7, AMMAN STREET BHARATHI NAGAR,
NESAPAKKAM CHENNAI 600078"
Immediate,137,29036,Kodambakkam,Government,JANANI HOSPITAL,Daycare,Psychiatry,"NO.7, AMMAN STREET BHARATHI NAGAR,
NESAPAKKAM CHENNAI 600078"
Immediate,91,231870,Kodambakkam,Private,GOVT.PERIPHERAL HOSPITAL,OPD,Pediatrics,"K.K.NAGAR, CHENNAI   600078"
Unavailable,180,352405,Kodambakkam,Private,M.S.P. CLINIC,Daycare,Gynaecology,"NO.3, NEHRU AVENUE BARADHIDASAN COLONY K.K.
NAGAR, CHENNAI 600078"
Unavailable,56,91102,Kodambakkam,Private,ESIC HOSPITAL,Home Nursing,Psychiatry,K.K.NAGAR CHENNAI   600078
Unavailable,76,203316,Kodambakkam,Private,LAKSHMI HOSPITAL,Laboratory,General,"14, GOVINDAN ROAD, WEST MAMBALAM, CHENNAI
600033"
Unavailable,56,73429,Kodambakkam,Private,SRI BALAJI MAT.CLINIC,Emergency,Neurology,"9, SADAYAPPA MUDALI STREET, SAIDAPET,
CHENNAI 600015"
Scheduled,182,462884,Kodambakkam,Private,RAJESH CLINIC,OPD,Gynaecology,"54, OLD MAMBALAM SALAI, SAIDAPET, CHENNAI
600015"
Unavailable,187,190173,Kodambakkam,Private,ANNAMALAI HOSPITAL,Laboratory,Cardiology,"NO.27, GOVINDAN ROAD WEST MAMBALAM
CHENNAI 600033"
Unavailable,179,286851,Kodambakkam,Private,SRI KRISHNA CLINIC,OPD,ENT,"63, SOUTH WEST BOAG ROAD, T.NAGAR, CHENNAI
600017"
Scheduled,45,195111,Kodambakkam,Private,KAVITHA NURSING HOME,Laboratory,ENT,"71, SOUTH WEST BOAG ROAD, T.NAGAR, CHENNAI
600017"
Immediate,156,327636,Kodambakkam,Private,PARVATHY NURSING HOME,Inpatient,Gastro-intestinal,"4, MOOPARAPAN STREET, T.NAGAR, CHENNAI
600017"
